symbol,marketcap,outstanding_shares
A,40794359003,300112992
AA,15878647411,184420992
AAL,11003262000,649160000
AAP,13292201538,61091100
AAPL,2809221504983,16319399936
ABB,61327676974,1929149952
ABBV,306060987310,1766279936
ABC,34072598737,209136992
ABMD,14452303824,45516200
ABT,217560535496,1763480064
ACGL,17928412160,378556000
ACI,17358574800,499240000
ACM,10743482038,141343008
ACN,216477467972,633401024
ADBE,213910200000,472500000
ADI,84384545040,523315008
ADM,52861683944,562478016
ADP,100180730592,420044992
ADSK,44498159160,217308000
AEE,24983305600,258092000
AEG,10891280000,1998400000
AEM,28692869764,455587008
AEP,52155024217,504547008
AER,11990000091,245395008
AES,16838376052,667395008
AFG,12441947532,85090600
AFL,42319312560,649368000
AGCO,10096646717,74541504
AGNCM,11769002160,477832000
AGNCN,11611317600,477832000
AGR,18316064882,386577984
AIG,49713251680,806248000
AIZ,10718758216,57708400
AJG,38034460300,209614000
AKAM,19201924385,160900992
ALB,24810177200,117112000
ALC,39819569400,490087008
ALGN,33269979336,78805200
ALL,39082559613,278345984
ALLY,13990630792,331452992
ALNY,19586495500,120718000
AMAT,108127548979,883395008
AMC,10128000584,513329984
AMCR,17453307453,1513730048
AMD,168789779200,1627360000
AME,30583924358,231171008
AMGN,140170775547,557028992
AMH,14266488960,347624000
AMOV,70092856548,3210850048
AMP,31989926100,110577000
AMT,121142318924,455884992
AMX,69996531046,3210850048
AMZN,1605753922360,508844000
ANET,40815586000,307300000
ANSS,27074688727,87026096
ANTM,124154519760,241236000
AON,71348184560,213944000
APA,14224007328,346927008
APD,55733000279,221716992
APH,44303594167,598940032
APO,34602000000,600000000
APTV,29860252182,270915008
AQN,10738538772,673684992
ARE,32557998708,159943008
ARES,13692720640,171159008
ARGX,17832024522,54238600
ASML,251747020595,402601984
ASX,14833457211,2140470016
ATO,16368311520,135432000
ATVI,62428202833,779281024
AVB,34845763680,139752000
AVGO,246213852226,408280992
AVTR,19742945165,610291968
AVY,14308409127,82355296
AWK,31105207051,181752992
AXP,138121945087,757289024
AZN,220053595692,3098909952
AZO,42786090351,19848900
AZPN,11185883600,66662000
BA,105070822721,590385024
BABA,280225628337,2687500032
BAC,317674841702,8064860160
BAH,11907934880,133258000
BAM,88264141701,1567190016
BAP,12684471981,79761504
BAX,39254397346,503196992
BBD,47192315290,10628899840
BBDO,38901773414,10628899840
BBVA,34508337777,6474359808
BBY,20736741960,225228000
BCE,52749164160,910096000
BCH,11041157925,505084992
BCS,31889705731,4190500096
BDX,77863214108,284671008
BEKE,21747040297,1497730048
BEN,13235988640,502124000
BEP,10986935479,275086016
BG,16662533680,142732000
BGNE,21922877600,102640000
BHP,195785230950,2531160064
BIDU,46894727296,345551008
BIIB,31103251013,146963008
BILI,10572283371,382915008
BILL,21303085440,103584000
BIO,14833265800,24863000
BIP,20400994145,305267008
BK,38547381796,807105984
BKI,10590301146,155283008
BKNG,90492657640,40887700
BKR,34938622871,967292992
BLDR,10583399031,176772992
BLK,113862733380,152042000
BLL,28179928760,321212000
BMO,76803538345,671476992
BMRN,15339067200,184032000
BMY,164192952000,2125200000
BNS,83734755512,1204470016
BNTX,41737700880,246808000
BP,96762819656,3240549888
BR,18550558780,116773000
BRO,20781153626,283121984
BSAC,10265596024,471115008
BSBR,57288767611,7498529792
BSX,64268071281,1429449984
BSY,11752122720,272292000
BTI,97450795366,2282220032
BUD,101572916471,1737180032
BURL,12876143640,66099300
BX,80992753605,700387008
BXP,19172442120,156676000
C,98682674900,1972470016
CAG,16516001589,479697984
CAH,16451881705,277060992
CAJ,25119395016,1045769984
CAR,13532204400,53767500
CARR,37267874781,853006976
CB,90056540880,423636000
CBOE,12523930660,106189000
CBRE,28835667404,332323008
CCEP,21952414644,456771008
CCI,85099058744,433030016
CCJ,12183660265,398288992
CCK,14952644080,123596000
CCL,18546996590,989700992
CDNS,45411476880,278376000
CDW,23928270080,134944000
CE,15246132770,108029000
CERN,27424730560,293344000
CF,22000883940,209114000
CFG,17582256283,422143008
CG,15717187686,356318016
CGNX,13219269840,173892000
CHD,25099620320,242696000
CHKP,19133535840,132798000
CHRW,12766611550,126565000
CHT,34373262013,775745024
CHTR,105796048220,191492992
CI,81227521969,318376992
CIB,10293963828,240456992
CINF,21978539706,160439008
CL,67600490990,840593024
CLF,16461229398,524409984
CLR,22196676165,364297984
CLX,17986157280,123058000
CM,52389183041,450969984
CMA,11563360690,131089000
CMCSA,213296690202,4523789824
CME,87806063654,359419008
CMG,43267277286,28019400
CMI,27862329819,142075008
CMS,20994312741,290136992
CNA,12947851840,271216000
CNC,51619410708,582875008
CNHI,19730964000,1356080000
CNI,88902592000,699800000
CNP,20148118320,629432000
CNQ,73309774418,1162540032
COF,52457189769,405670016
COO,20508479568,49301600
COP,129553162798,1296050048
COST,269502353200,443224000
CP,70956459971,929723008
CPB,13624952640,301704000
CPRT,29658624361,237496992
CPT,17858748430,103463000
CQP,26805415703,484027008
CRH,29445235507,766803008
CRL,15342313980,50799000
CRM,198158400000,990000000
CRWD,45588887740,210058000
CS,19837928612,2569679872
CSGP,25504375160,394988000
CSL,12235956500,52067900
CSX,75683868088,2178579968
CTAS,44473123840,102416000
CTLT,20196682000,179128000
CTSH,46059419052,524535008
CTVA,42509012196,726774016
CTXS,12753727770,125913000
CUBE,12089641670,225132992
CUK,19545241098,1139000064
CVE,33500751200,1995280000
CVS,136059617558,1313190016
CVX,325435596979,1947549952
CZR,15108519444,214123008
D,71063681437,810673984
DAL,23760600306,639929984
DAR,12111662600,161575008
DB,26094716498,2066089984
DCUE,67309779072,655083008
DD,35754747528,512907008
DDOG,36271021262,264288992
DE,125615776640,306784000
DELL,13666427920,286568000
DEO,121562274816,577492992
DFS,30786176480,282028000
DG,55295044716,228784992
DGX,16476428150,119455000
DHI,24943260746,354358016
DHR,214525088508,715894976
DIS,240086480210,1820630016
DLR,42149770545,284468992
DLTR,35704697100,225110000
DOCU,20427822858,198868992
DOV,22254289580,144106000
DOW,45024018480,735086016
DOX,10217411820,123354000
DPZ,14319633420,36033300
DRE,23103876480,382768000
DRI,15716484000,124734000
DT,12724224494,285744992
DTE,26412846860,193742000
DUK,88430600059,769899008
DVA,11334487648,95851904
DVN,40004766000,664200000
DXCM,49914068590,97389504
E,51698196669,1769880064
EA,34702796774,281222016
EBAY,31949828325,587529024
EBR,13382973309,1568930048
EC,39430819707,2055830016
ECL,52569671520,286296000
