symbol,marketcap,outstanding_shares
A,40794359003,300112992
AA,15878647411,184420992
AAIC,105752328,30388600
AAL,11003262000,649160000
AAN,665206050,31935000
AAON,2787287910,52570500
AAP,13292201538,61091100
AAPL,2809221504983,16319399936
AAT,2183698704,60523800
AAWW,1966216610,29215700
AB,4764048691,99271696
ABB,61327676974,1929149952
ABBV,306060987310,1766279936
ABC,34072598737,209136992
ABCB,2820520750,69676896
ABCM,4406613904,228915008
ABG,3569854180,23188400
ABM,3188318688,66869100
ABMD,14452303824,45516200
ABR,2672449920,159264000
ABST,417326529,50462700
ABT,217560535496,1763480064
ABTX,858681152,20367200
ABUS,439980320,148642000
AC,120470682,3088200
ACA,2683781595,48312900
ACAD,4362180240,161204000
ACB,758148662,214772992
ACC,7920815985,139156992
ACCD,1074012736,66958400
ACCO,742758198,96839400
ACEL,1106158072,92798496
ACET,757266129,39877100
ACGL,17928412160,378556000
ACGLO,9533536929,402939008
ACH,9736970214,680907008
ACI,17358574800,499240000
ACIU,357290120,83479000
ACIW,3068756880,115064000
ACLS,2049351200,33182500
ACM,10743482038,141343008
ACMR,1022561376,53649600
ACN,216477467972,633401024
ACNB,300561042,8679210
ACRE,720137025,47222100
ACRS,991429500,61275000
ACTG,211459885,46474700
ACU,117906569,3520650
ADBE,213910200000,472500000
ADC,4820466978,71382600
ADCT,1095317673,76810496
ADI,84384545040,523315008
ADM,52861683944,562478016
ADMA,415350400,195920000
ADNT,3138663168,94766400
ADP,100180730592,420044992
ADPT,1866077120,141584000
ADSK,44498159160,217308000
ADT,6122659629,856316032
ADTN,878296588,49314800
ADUS,1425151680,15952000
ADV,1899158442,318116992
ADVM,124425887,98750704
ADX,2151557540,117829000
AE,165411237,4367870
AEE,24983305600,258092000
AEG,10891280000,1998400000
AEHR,253655010,26841800
AEIS,3045634983,37558700
AEL,3590998368,96949200
AEM,28692869764,455587008
AENZ,383901840,181944000
AEO,2677834120,168842000
AEP,52155024217,504547008
AER,11990000091,245395008
AERI,390522633,48391900
AES,16838376052,667395008
AFG,12441947532,85090600
AFL,42319312560,649368000
AFMD,582655680,123444000
AFYA,671769252,46265100
AG,3426596940,260182000
AGCO,10096646717,74541504
AGEN,640313460,257154000
AGFS,101165582,52417400
AGI,3339899708,392007008
AGIO,1620548250,54637500
AGLE,131303186,49362100
AGM,989407685,9235580
AGNC,6555159600,522740000
AGNCM,11769002160,477832000
AGNCN,11611317600,477832000
AGO,3895500020,65691400
AGR,18316064882,386577984
AGS,209607993,36967900
AGX,630002323,15714700
AGYS,953477694,24714300
AHCO,2086302220,133909000
AHH,965430519,67324304
AHT,279729309,34491900
AIG,49713251680,806248000
AIMC,2268610817,65059100
AIN,2615706000,31860000
AIR,1734845343,35196700
AIT,3879491720,38456500
AIV,1063315320,152556000
AIZ,10718758216,57708400
AJG,38034460300,209614000
AJRD,3473871346,80544200
AJX,244225115,23149300
AKAM,19201924385,160900992
AKR,1950077604,93618704
AKRO,505236147,35012900
AKTS,331861468,54672400
AKU,106832400,89027000
AKUS,145687471,34605100
AL,4825877760,114249000
ALB,24810177200,117112000
ALBO,690058116,19361900
ALC,39819569400,490087008
ALCO,284461957,7545410
ALDX,276551240,58099000
ALE,3723078304,56988800
ALEC,1102614912,82039800
ALEX,1628040960,72680400
ALG,1624929358,11936600
ALGM,4825714740,189914000
ALGN,33269979336,78805200
ALGT,2722776960,18112000
ALJJ,109414704,42408800
ALK,6733045800,126087000
ALKS,4795901853,161968992
ALL,39082559613,278345984
ALLE,9568586880,88230400
ALLK,334708920,54691000
ALLO,1293333120,142752000
ALLT,292374400,36546800
ALLY,13990630792,331452992
ALNY,19586495500,120718000
ALOT,108265786,7256420
ALPN,269317216,30294400
ALRM,3127319635,50318900
ALRS,470044226,17402600
ALSN,3523336080,97061600
ALT,255446157,43222700
ALTG,414575154,32363400
ALTR,3187077520,51906800
ALV,6447783904,87534400
ALVR,444349400,65345500
ALX,1302410023,5107290
ALXO,717948003,40630900
ALYA,213098240,85239296
AM,5173306977,477683008
AMAT,108127548979,883395008
AMBA,3570905793,38065300
AMBC,380890140,46337000
AMC,10128000584,513329984
AMCR,17453307453,1513730048
AMCX,1160910086,30891700
AMD,168789779200,1627360000
AME,30583924358,231171008
AMED,5438622297,32525700
AMEH,2085817392,45030600
AMG,5371290855,39778500
AMGN,140170775547,557028992
AMH,14266488960,347624000
AMK,1602213117,73563504
AMKR,4747957740,244614000
AMN,4760715336,45970600
AMNB,399632200,10714000
AMOT,423355036,15462200
AMOV,70092856548,3210850048
AMP,31989926100,110577000
AMPH,1934060973,48146900
AMPY,225340064,38064200
AMRC,2550906052,33724300
AMRK,871609800,11514000
AMRN,1400485084,396737984
AMRS,1418079336,317955008
AMRX,641722174,150639008
AMSC,208594941,28457700
AMSF,934898748,19364100
AMSWA,622662282,31736100
AMT,121142318924,455884992
AMTB,992266965,34634100
AMTI,259367669,38653900
AMTX,415388192,33826400
AMWD,782960850,16570600
AMWL,951423937,230368992
AMX,69996531046,3210850048
AMYT,502108765,63962900
AMZN,1605753922360,508844000
AN,6145752024,61371600
ANAB,724186708,27672400
ANAT,5092166808,26887200
ANDE,1790817182,33987800
ANET,40815586000,307300000
ANF,1600784634,50625700
ANGI,437840128,79607296
ANGO,909455283,38716700
ANIK,360662310,14467000
ANIP,518526448,17261200
ANNX,102579176,38563600
ANSS,27074688727,87026096
ANTM,124154519760,241236000
ANVS,104906372,8163920
ANY,131615496,64517400
AON,71348184560,213944000
AOS,8299333170,131049000
AOSL,1255781948,26707400
AOUT,178250535,13352100
AP,101517745,19190500
APA,14224007328,346927008
APAM,2546863179,66515100
APD,55733000279,221716992
APEI,411823776,18856400
APEN,236154868,39623300
APG,4637585220,232576992
APH,44303594167,598940032
API,1043997710,115871000
APLE,3783535038,228888992
APO,34602000000,600000000
APOG,1121682705,24865500
APPF,2220610737,20003700
APPN,2283637736,40735600
APPS,3902688300,96961200
APRN,123651620,32539900
APSG,812725950,81681000
APTO,130965464,92229200
APTS,1390580765,55734700
APTV,29860252182,270915008
APYX,211046705,34428500
AQB,132264035,71109696
AQN,10738538772,673684992
AQUA,5313774500,120850000
AR,9919564892,314707008
ARAY,298601883,92733504
ARC,158564552,43205600
ARCB,1743116400,24592500
ARCE,653508814,29450600
ARCH,2194919776,15476800
ARCO,1035995320,130478000
ARCT,724521250,26375000
ARDX,138111640,130294000
ARE,32557998708,159943008
